"","control.1","control.2","control.3","E2.treat.1","E2.treat.2","E2.treat.3"
"POU2F1",97.5928901392047,97.0461167418089,103.74164389723,106.876508399858,107.365160456385,126.31194782207
"POU2F2",1.55018710069333,1.91847974163218,1.68211136696368,1.40177122341464,1.50317621133455,2.06863239609346
"POU3F1",4.58166409760474,4.63330956469658,4.60005965659456,4.75234634279597,4.98926572272744,5.20292390532597
"POU3F2",56.1512216473363,53.4278509179075,56.608196818839,54.4639404609639,55.4576074564704,54.7247297511996
"POU3F3",5.78736517592178,6.15361426561265,5.83589657926176,6.90628749096969,5.24512550338013,6.80141257503455
"POU4F1",98.9708342287099,101.860414961376,106.762578597083,106.158528017133,101.992105062678,110.076317804246
"POU6F1",12.5737398167348,11.2574943329737,11.5688067483012,11.8295815439382,11.513690129371,12.4744802067454
"POU6F2",4.96059872221867,5.10388006736108,4.05079880207581,4.78653588483048,5.27710797596172,5.10889516004899
"PP7080",34.6552938510554,33.555296613076,33.1959528949772,32.3774963066747,31.8225602186782,30.5906851301093
"PPA1",133.729473886478,120.936619184776,113.559681671752,117.406887346485,123.772168890738,116.282214992526
"PPA2",55.1866607846827,49.7356823585399,50.1543817782437,48.1388751845808,49.7007623917849,45.6666272895177
"PPAN",6.92416904976356,8.2168849311416,7.82696717689224,7.82940512590128,7.8676882550702,7.30289921651175
"PPARA",39.5814439710364,37.1750697104953,39.443795115128,44.6857314390959,41.6731617738068,44.5696252612863
"PPARD",18.5333480038447,17.3025154056638,19.2927875149712,18.5649213247353,18.54983409732,20.4042377251036
"PPARG",32.6228263190353,32.2159805670309,32.4063904166065,32.0356008863297,33.1338415945233,30.5279992999246
"PPARGC1A",10.3001320690513,10.8593192922576,10.0240105949673,8.34224825641883,9.53077682931268,10.311819065375
"PPARGC1B",49.6748844266619,47.5638185000884,53.8275637428379,58.1564110006903,55.9053620726126,64.5037192600051
"PPAT",101.141096169681,105.154408480028,97.596788087301,97.7479006766452,91.3739241655917,98.1033242389775
"PPCDC",25.767554473747,27.9084505811021,25.3346569146775,25.8131042360501,23.7309946555369,24.1340446210903
"PPCS",21.668170807469,22.7321750517926,20.8719124717126,21.3684637715646,19.0295711860438,20.8743814514885
"PPDPF",166.490094614464,169.477776421167,160.315511912661,163.938854055444,172.257597324423,161.039897744366
"PPEF1",1.92912172530726,1.62889789383864,1.51046734992657,1.57271893358716,1.34326384842662,1.53580283952393
"PPFIA1",156.603345772264,153.116402020832,164.537954731774,164.656834438168,167.939963525909,168.436825706155
"PPFIA3",28.7301342661831,31.3834327546245,32.4063904166065,32.8219603531233,33.6135786832471,34.0384057902651
"PPFIA4",4.27162667746607,3.80076175229017,4.1881140157055,5.0600522211065,2.87842253234275,4.82680892421807
"PPFIBP1",84.7435615045689,86.0058087946803,84.5518427924806,83.9695152367404,84.08192041699,86.5064456548173
"PPFIBP2",8.81884217283318,8.83224635770286,9.02847529615201,7.82940512590128,9.08302221317047,9.34018869751288
"PPHLN1",67.243671567853,63.8165997075006,64.9157672434352,65.7806788743845,62.1099617534403,63.1873168261274
"PPIA",98.867488421997,95.9963825435574,94.4042093704108,91.2518876900896,89.3270459203702,84.5631849190931
"PPIB",301.631961192685,316.404366445413,307.448763316872,311.329969766188,336.167769305052,305.154621338877
"PPIC",51.6729033564444,53.1382690701139,50.7036426327624,47.6260320540632,49.8606747546928,47.2964588743186
"PPID",58.0458947704059,56.6856467055848,55.0977294689125,54.1220450406189,55.5855373467968,52.4680398645522
"PPIE",56.1856702495739,59.2556856047524,55.9902783575054,56.2759861887926,56.3850991613364,51.3710378363208
"PPIEL",6.64858023186252,6.94996434704488,7.89562478370708,8.30805871438433,6.04468731791979,8.21184375418918
"PPIF",157.188972010304,158.003095702348,150.566131744953,162.46870374796,161.287609228939,160.381696527428
"PPIG",127.838762903844,125.135555977782,121.215004831607,127.868887209043,123.964063726228,123.522428378853
"PPIH",29.8324895377873,30.6956758661149,29.5570997337904,28.3431303466033,28.0486284540511,26.1399911869991
"PPIL1",92.1500109856593,89.2274068513834,85.5817068947033,89.2688942520884,84.9454471766929,78.7334027119206
"PPIL2",84.9847017202323,81.4448946919321,85.1697612538142,89.7817373826059,82.3548668975844,87.2586756170331
"PPIL3",35.3098172935704,34.858414928147,35.1183658857928,31.3176205036051,33.1018591219417,32.7220033563874
"PPIL4",53.2230904571378,50.6044279019205,50.7036426327624,49.9509209124095,50.7881664595588,49.8038920817046
"PPIL6",2.4458507588717,2.17186385845152,1.99107059763048,1.16244442917312,1.56714115649772,1.66117449989323
"PPIP5K1",19.7734976843994,21.103277157954,20.4256380274161,20.4795356786675,20.6606772877047,21.689297243889
"PPIP5K2",106.515078118751,103.634103779112,97.6997744975233,99.6625150305774,98.8258402771012,101.707759474595
"PPM1A",82.779991177024,80.7571378034225,79.9861119392935,80.1744760709105,79.1886021120073,83.5288687210464
"PPM1B",68.6560642595959,67.291581881023,70.5800198056598,67.6611036862822,71.3528963295187,69.5185856747771
"PPM1D",52.361875401197,51.4369757143269,51.0469306668367,51.3185025937896,50.8201489321404,50.9322370250283
"PPM1E",70.1373541558139,67.2553841500489,67.4560986955844,68.2765154429033,68.3145614342681,70.9290168539317
"PPM1F",91.3576931341938,91.4716661717834,95.8460191135225,93.2006915860563,94.3802765882608,93.809344871329
"PPM1G",248.133281917646,254.832026058312,251.527142566182,256.592512968948,258.930098020522,249.771690370739
"PPM1H",128.045454517269,130.420424700014,126.50164055635,126.091031023249,124.60371317786,122.832884246822
"PPM1J",4.68500990431763,4.88669368151593,5.08066290429847,3.96598687600239,4.54151110658524,4.41935102801784
"PPM1K",41.0282852650169,39.5279222238177,40.5079880207581,40.480417768852,36.9717383043136,41.936820393531
"PPM1L",27.3866387789156,27.7274619262311,30.6556214428279,32.7193917270198,33.9014209364813,35.2294365637734
"PPM1M",19.1189742418844,20.922288503083,20.3226516171939,19.693176211874,18.9975887134622,20.341551894919
"PPM1N",9.12887959297185,7.7463144284771,7.4493503394106,6.90628749096969,6.90821407762261,6.9894700655885
"PPME1",98.3507593884326,97.9872577471379,94.7131686010776,96.2777503691616,96.3631898883191,95.8152914372378
"PPOX",16.7764692897256,14.4790923896768,14.9330294822286,15.3169148314575,13.7204807375005,14.8251988386698
"PPP1CA",223.640325726692,225.620457162139,198.969744549418,208.043363279953,209.90096755295,195.297703940278
"PPP1CB",230.426700367505,221.783497678875,208.513151896682,202.675605180536,201.009840175269,206.737867948976
"PPP1CC",314.825775849697,282.342301598698,276.415525036563,275.499329714028,282.181355587335,276.695254435046
"PPP1R10",160.01375739379,163.106975769709,163.679734646589,172.930703610518,171.042263366323,168.656226111801
"PPP1R11",49.8126788356124,48.7221458912625,48.3692840010577,52.2416202287212,52.0674653628223,50.9635799401206
"PPP1R12A",97.66178734368,98.0958509400605,103.46701346997,98.5000706014043,93.1969251027421,101.488359068949
"PPP1R12B",33.3806955682631,30.9852577139084,35.5646403300893,38.1897184525403,33.2617714848496,40.3696746389147
"PPP1R12C",50.880585504979,51.5817666382237,50.3260257952808,53.8143391623084,49.4449026111322,56.1665038454466
"PPP1R13B",61.662998005357,64.1785770172425,65.0187536536575,73.4391362901133,71.0650540762845,72.9036205047482
"PPP1R13L",14.8473475644184,13.3207649985027,13.3195757220798,14.5305553646639,13.91237557299,14.1356547066386
"PPP1R14B",52.5341184123852,52.1609303338108,51.2529034872812,57.5068097020347,53.9224487725543,54.0351856191685
"PPP1R14C",55.4622496025837,53.8622236895978,55.2350446825422,52.4809470229627,50.2124819530903,53.0322123362141
"PPP1R15A",100.486572727166,111.99577963415,104.874494409675,97.8846588447832,103.655193636921,93.7466590411444
"PPP1R15B",149.506933711313,149.098453882697,156.505014734437,153.374285566782,156.234378561048,157.498148338934
"PPP1R16A",22.9083204880237,22.3340000110765,23.4122439238619,23.2830781254968,21.5561865199891,24.1340446210903
"PPP1R16B",14.2617213263787,14.8048719684446,15.2419887128954,14.1202808602499,14.8078848052744,13.4774534896998
"PPP1R18",12.2292537943585,13.5379513843478,13.8345077731911,13.6074377297324,12.1213571084212,12.725223527484
"PPP1R1A",23.4594981238258,22.4063954730249,21.3181869160091,23.8984898821179,23.1553101490684,22.6295846966587
"PPP1R1C",2.790336781248,2.89581847793537,3.05526350326057,3.0428692410708,3.16626478557703,1.84923199044718
"PPP1R2",35.8609949293724,34.1344603086631,31.1705534939393,31.5569472978466,33.9334034090629,31.530972582879
"PPP1R21",28.4200968460444,26.7863209209021,27.5660291361599,26.7020323289472,26.5134697701349,26.9235640643073
"PPP1R26",42.6818181724231,50.133857399256,49.0215312657988,47.9337379323738,49.8606747546928,50.2426928929971
"PPP1R26-AS1",3.89269205285215,4.30752998592886,4.39408683615003,4.10274504414041,3.39014209364813,4.41935102801784
"PPP1R2P3",3.06592559914904,2.82342301598698,2.84929068281603,3.41895420345034,3.26221220332179,2.75817652812461
"PPP1R35",31.7616112630945,33.4829011511277,33.0586376813475,33.7450779880549,31.7905777460966,31.3429150923251
"PPP1R37",26.8010125408758,28.0170437740247,26.673480247567,28.0354244682928,24.882363668474,27.7698227718
"PPP1R3B",11.6091789540812,12.2710308002511,11.7404507653384,11.5218756656276,12.7290240874713,13.3834247444228
"PPP1R3D",19.256768650835,21.3204635437991,19.8077195660826,19.5906075857704,19.0295711860438,20.4669235552883
"PPP1R3E",24.5274047931923,23.2389432854313,27.5317003327525,29.3688166076384,23.5390998200474,29.11756812077
"PPP1R3F",8.06097292360533,7.38433711873518,8.13592640755904,7.52169924759075,7.35596869376482,7.39692796178872
"PPP1R7",132.937156035013,130.058447390272,134.912197391169,125.954272855111,134.742156986223,129.602953906764
"PPP1R8",157.085626203591,147.107578679117,139.889873885245,139.801037379084,143.185529747761,137.062567698738
"PPP1R9A",41.6828087075318,43.0391021283144,46.7901590443163,43.8651824302679,47.3020769481659,48.7382329685655
"PPP1R9B",118.572088901921,121.479585149389,128.595697564203,127.253475452422,128.153767634416,130.982042170827
